id,cx,cy,frames,detections,top_class,avg_score
2385,316.85714285714283,36.57142857142857,7,7,unknown,0.0
2386,352.5,327.5,2,2,unknown,0.0
2387,363.2,45.4,4,5,unknown,0.0
2388,399.5,518.4166666666666,10,12,unknown,0.0
2389,396.5,42.0,2,2,unknown,0.0
2390,464.5,46.5,2,2,unknown,0.0
2391,494.0,5.666666666666667,3,3,unknown,0.0
2392,514.6666666666666,628.3333333333334,3,3,unknown,0.0
2393,513.3636363636364,129.72727272727272,9,11,unknown,0.0
2394,536.0,391.0,2,2,unknown,0.0
2395,628.6666666666666,327.6666666666667,3,3,unknown,0.0
2396,701.75,84.5,4,4,unknown,0.0
2397,705.5,72.0,2,2,unknown,0.0
2398,703.2,541.2,5,5,unknown,0.0
2399,741.5,629.25,4,4,unknown,0.0
2400,738.0,635.0,2,2,unknown,0.0
2401,750.8571428571429,67.57142857142857,5,7,unknown,0.0
2402,718.7142857142857,571.2857142857143,7,7,unknown,0.0
2403,752.2,332.2,3,5,unknown,0.0
2404,745.6666666666666,429.6666666666667,3,3,unknown,0.0
2405,797.6666666666666,431.6666666666667,3,3,unknown,0.0
2406,803.0,53.75,3,4,unknown,0.0
2407,823.0,49.0,2,2,unknown,0.0
2408,828.5,504.0,2,2,unknown,0.0
2409,837.25,427.25,4,4,unknown,0.0
2410,852.0,69.33333333333333,3,3,unknown,0.0
2411,877.0,548.6666666666666,3,3,unknown,0.0
2412,887.6666666666666,667.25,9,12,unknown,0.0
2413,916.8,443.8,4,5,unknown,0.0
2414,936.0,376.3333333333333,3,3,unknown,0.0
2415,935.0,457.3333333333333,3,3,unknown,0.0
2416,950.0,666.5,3,4,unknown,0.0
2417,956.6,77.4,5,5,unknown,0.0
2418,940.5,13.333333333333334,4,6,unknown,0.0
2419,980.75,439.25,3,4,unknown,0.0
2420,989.8333333333334,48.833333333333336,10,12,unknown,0.0
2421,1038.3333333333333,411.3333333333333,2,3,unknown,0.0
2422,1051.0,548.0,2,2,unknown,0.0
2423,1080.0,441.8,3,5,unknown,0.0
2424,1057.5,5.0,2,2,unknown,0.0
2425,1066.5,677.0,2,2,unknown,0.0
2426,1090.5,444.5,2,2,unknown,0.0
2427,1112.0,0.0,2,2,unknown,0.0
2428,1116.5,455.0,2,2,unknown,0.0
2429,1136.5,574.5,2,2,unknown,0.0
2430,1191.5,18.5,2,2,unknown,0.0
2431,1188.8333333333333,524.5,6,6,unknown,0.0
2432,1211.6666666666667,351.6666666666667,3,3,unknown,0.0
2433,1221.3333333333333,450.0,3,3,unknown,0.0
2434,1246.6,42.2,5,5,unknown,0.0
2435,3.5,162.5,2,2,unknown,0.0
2436,0.5,36.0,2,2,unknown,0.0
2437,8.0,69.5,2,2,unknown,0.0
2438,20.0,87.5,2,2,unknown,0.0
2439,29.0,504.6666666666667,3,3,unknown,0.0
2440,50.25,318.0,3,4,unknown,0.0
2441,62.0,82.0,2,2,unknown,0.0
2442,61.333333333333336,487.3333333333333,2,3,unknown,0.0
2443,60.333333333333336,581.0,3,3,unknown,0.0
2444,97.33333333333333,64.33333333333333,2,3,unknown,0.0
2445,59.54545454545455,461.0,10,11,unknown,0.0
2446,94.0,448.5,2,2,unknown,0.0
2447,113.0,100.75,4,4,unknown,0.0
2448,113.8,595.0,5,5,unknown,0.0
2449,132.5,118.5,3,6,unknown,0.0
2450,132.6,549.6,4,5,unknown,0.0
2451,167.42857142857142,542.2857142857143,6,7,unknown,0.0
2452,164.5,528.5,2,2,unknown,0.0
2453,159.5,435.5,2,2,unknown,0.0
2454,168.71428571428572,613.4285714285714,6,7,unknown,0.0
2455,177.5,574.25,3,4,unknown,0.0
2456,205.0,350.0,2,4,unknown,0.0
2457,190.5,46.0,2,2,unknown,0.0
2458,209.66666666666666,17.0,5,6,unknown,0.0
2459,200.25,85.5,3,4,unknown,0.0
2460,262.90909090909093,149.54545454545453,8,11,unknown,0.0
2461,284.0,413.0,2,2,unknown,0.0
2462,304.0,487.5,2,2,unknown,0.0
2463,308.5,639.5,1,2,unknown,0.0
2464,325.3333333333333,129.66666666666666,2,3,unknown,0.0
2465,311.45454545454544,583.2727272727273,10,11,unknown,0.0
2466,334.0,341.0,2,2,unknown,0.0
2467,330.4,534.2,5,5,unknown,0.0
2468,393.5,616.0,2,2,unknown,0.0
2469,389.6666666666667,77.66666666666667,3,3,unknown,0.0
2470,407.5,10.0,2,2,unknown,0.0
2471,415.6,59.0,5,5,unknown,0.0
2472,431.5,12.5,4,4,unknown,0.0
2473,462.1818181818182,539.0909090909091,8,11,unknown,0.0
2474,505.5,377.0,2,2,unknown,0.0
2475,515.0,406.5,2,2,unknown,0.0
2476,540.0,73.75,4,4,unknown,0.0
2477,577.5454545454545,481.3636363636364,8,11,unknown,0.0
2478,582.8,93.8,4,5,unknown,0.0
2479,597.5,89.0,2,2,unknown,0.0
2480,616.0,473.0,1,2,unknown,0.0
2481,612.0,410.5,2,2,unknown,0.0
2482,624.5,577.5,2,2,unknown,0.0
2483,645.0,45.0,2,2,unknown,0.0
2484,663.5714285714286,562.8571428571429,7,7,unknown,0.0
2485,669.5,430.0,2,2,unknown,0.0
2486,679.5,554.5,1,2,unknown,0.0
2487,686.0,506.5,2,2,unknown,0.0
2488,687.1428571428571,603.4285714285714,7,7,unknown,0.0
2489,698.0,416.0,2,2,unknown,0.0
2490,715.0,502.0,1,2,unknown,0.0
2491,725.5,649.5,2,2,unknown,0.0
2492,752.4,55.4,3,5,unknown,0.0
2493,740.5,680.5,2,2,unknown,0.0
2494,770.0,416.75,2,4,unknown,0.0
